file_name,xmin,ymin,xmax,ymax,tot_width,tot_height
4453.13_102_drn_color_train.png,1153,1306,1220,1373,4573,8486
4453.13_102_drn_color_train.png,813,1573,873,1613,4573,8486
4453.13_102_drn_color_train.png,2486,1786,2593,1860,4573,8486
4453.13_102_drn_color_train.png,4893,2433,4966,2486,4573,8486
4453.13_102_drn_color_train.png,3666,3533,3726,3586,4573,8486
4453.13_102_drn_color_train.png,3600,1613,3646,1660,4573,8486
4453.13_102_drn_color_train.png,6740,2793,6793,2846,4573,8486
4453.13_102_drn_color_train.png,7806,2540,7893,2600,4573,8486
4453.13_102_drn_color_train.png,7526,2866,7580,2920,4573,8486
4453.13_102_drn_color_train.png,7966,3213,8020,3260,4573,8486
4453.13_102_drn_color_train.png,7800,3080,7860,3140,4573,8486
4453.13_102_drn_color_train.png,6546,2753,6593,2800,4573,8486
4453.13_102_drn_color_train.png,5380,1573,5426,1620,4573,8486
4453.13_102_drn_color_train.png,900,1166,1006,1240,4573,8486
4453.13_102_drn_color_train.png,3053,1726,3146,1813,4573,8486
